Date,Thorak Cemetery,CSIRO,Northlake,Karama NT,Berrimah Research,Darwin Airport
01/01/1992,,,0,1.6,0,1.2
02/01/1992,,,14.4,42,9.2,12.8
03/01/1992,,,25,24.2,34.4,21
04/01/1992,,,,,,0.8
05/01/1992,,,,42,,42
06/01/1992,,,19.66666667,4.4,15.66666667,24
07/01/1992,,,78.6,62,92.4,89.2
08/01/1992,0,0,8.5,13.5,10.8,22
09/01/1992,4.5,6.9,6.5,13,12,8
10/01/1992,0,4.8,0,3,0.4,0
11/01/1992,0,0,0,,0,0
12/01/1992,0,0,0,,0,0
13/01/1992,0,0,0,,0,0
14/01/1992,0,0,0,,0,0
15/01/1992,0,0,0,,0,0
16/01/1992,0,0,0,,0,0
17/01/1992,0,0,0,,0,0
18/01/1992,0,0.2,0,3.4,,0.4
19/01/1992,0,0,0,,,0
20/01/1992,0,0,0,,0.533333333,0
21/01/1992,0,0,0,,0,0
22/01/1992,50.4,49.7,29,19,42,43.2
23/01/1992,14.5,12.6,11.2,7.6,12.6,6.4
24/01/1992,0,0,0,,0,0
25/01/1992,0,0,0,,,0
26/01/1992,55.2,41.6,19,30,,9.2
27/01/1992,0,0,0,,9.333333333,0.2
28/01/1992,1.4,0.4,0,,22.4,13.8
29/01/1992,0,0,0,,0,0
30/01/1992,0,23.6,25.2,16.6,9.8,24.4
31/01/1992,11,3.2,0,5.2,0,0
01/02/1992,44.2,0.4,,,,0
02/02/1992,0,0,,7.8,,0
03/02/1992,0,2.2,2.933333333,1.2,2.333333333,5.2
04/02/1992,0,2.6,0,,7.6,0.2
05/02/1992,4,5.2,20.2,18,1.6,18.8
06/02/1992,0,0,0,2,0,0
07/02/1992,0,0,0,,0,0
08/02/1992,1.8,0,,1.2,,1.6
09/02/1992,4.2,,,4.2,,2.8
10/02/1992,0,3,1.433333333,,1.466666667,0
11/02/1992,0,,0,,0,0
12/02/1992,52,,46,47.8,42.2,46.4
13/02/1992,5.8,,3.2,7.4,4.8,5.2
14/02/1992,4.2,,7.6,6,4.6,4.2
15/02/1992,0,10.48,,,,0
16/02/1992,21.4,3,,3.4,,0.2
17/02/1992,0,0,0.866666667,,1,0
18/02/1992,0,0,0,,0,0
19/02/1992,0,3.2,0,,0,0
20/02/1992,0,,0,,0.2,0
21/02/1992,3.4,,0,3.6,3.2,3
22/02/1992,0,,,,,0
23/02/1992,0,,,,,0.6
24/02/1992,0,0.8,2.466666667,,0.333333333,0
25/02/1992,52,0,25,24.2,20.6,21.8
26/02/1992,6,42.8,20,21.2,17,18.2
27/02/1992,0,0,0,,3.8,1.6
28/02/1992,0,0,1.4,,0,0
29/02/1992,0,0,0,,0,0
01/03/1992,0,0,0,,,0
02/03/1992,4.2,10.6,9.2,8.2,4.5,10.8
03/03/1992,102.2,95.2,86,101,30,35
04/03/1992,17,,7.4,8,18.6,3.8
05/03/1992,0,7.1,0,,0.4,0
06/03/1992,0,3.4,1.2,0.8,3.6,0
07/03/1992,7,,,20,,7.2
08/03/1992,2.6,,,1.8,,16.2
09/03/1992,0,17,17,28.2,17.2,7.8
10/03/1992,40,,22,10.8,22,14.2
11/03/1992,,,0,10.2,1.6,0
12/03/1992,,,11,13.2,2,2.2
13/03/1992,,,10.4,2.4,4.6,8.2
14/03/1992,,,,9.2,,8
15/03/1992,,,,,,17.2
16/03/1992,,8.828571429,4.8,2,0.2,0
17/03/1992,,0,0,0.4,8.4,2.6
18/03/1992,,1.8,4,,2.8,0.2
19/03/1992,,26,26,8.8,7.2,21.2
20/03/1992,,4.6,0,2.8,0,0
21/03/1992,,,0,,,0
22/03/1992,,,0,3.4,,0.8
23/03/1992,,4.333333333,5.2,9.8,6.333333333,1.4
24/03/1992,,8.2,12.6,24.4,7.2,5.8
25/03/1992,,0,0,,0,0
26/03/1992,,0,0,,0,0
27/03/1992,,0,0,,1.6,0
28/03/1992,,0,0,,0,0
29/03/1992,,0,0,,0,0
30/03/1992,3,0,0,,0,0
31/03/1992,0,0,0,,0,0
01/04/1992,0,,0,,0,0
02/04/1992,0,,0,,0,0
03/04/1992,0,,0,,0,0
04/04/1992,33.6,,,35.2,,50.4
05/04/1992,10.6,,,3,,12
06/04/1992,3.8,,20.33333333,6,16.6,1.6
07/04/1992,0,,0,,0.4,0
08/04/1992,21.2,,19.7,18.4,19,16.4
09/04/1992,38,,46.2,42.2,36.4,38.8
10/04/1992,0,,68,65,51.4,66.2
11/04/1992,5.8,,,15.6,,10
12/04/1992,0,,,,,0.4
13/04/1992,0,,4.1,,3.066666667,0.2
14/04/1992,0,,1.2,,1.6,1
15/04/1992,6.4,,5,3.8,2.4,2.8
16/04/1992,0,,0,,0,0
17/04/1992,0,,0,,,0
18/04/1992,0,,0,,,0
19/04/1992,5.6,,0,0.6,,4.4
20/04/1992,0,,0,,,0.2
21/04/1992,0,,0,,2.2,0.4
22/04/1992,0,,0,,0,9.6
23/04/1992,0,,14.4,,0,1.4
24/04/1992,0,,0,,0,0
25/04/1992,0,,0,,0,0
26/04/1992,0,,0,,0,0
27/04/1992,0,,0,,0,0
28/04/1992,0,,0,,0,0
29/04/1992,0,,0,,0,0
30/04/1992,0,,0,,0,0
01/05/1992,0,,0,,0,0
02/05/1992,0,,0,,0,0
03/05/1992,0,,0,,0,0
04/05/1992,0,,0,,0,0
05/05/1992,0,,0,,0,0
06/05/1992,0,,0,,0,0
07/05/1992,0,,0,,0,0
08/05/1992,0,,0,,0,0.6
09/05/1992,0,,0,,0,0
10/05/1992,0,,0,,0,0
11/05/1992,0,,0,,0,0
12/05/1992,0,,0,,0,0
13/05/1992,0,,0,,0,0
14/05/1992,0,,3,19,0,0
15/05/1992,0,,0,,0,0
16/05/1992,0,,0,,0,0
17/05/1992,0,,0,,0,0
18/05/1992,0,,0,,0.2,0.6
19/05/1992,2,,0,,0,0
20/05/1992,0,,0,,0,0
21/05/1992,0,,0,,0,0
22/05/1992,0,,0,,0,0
23/05/1992,0,,0,,0,0
24/05/1992,0,,0,,0,0
25/05/1992,0,,0,,0,0
26/05/1992,0,,0,,0,0
27/05/1992,0,,0,,0,0
28/05/1992,0,,0,,0,0
29/05/1992,0,,0,,0,0
30/05/1992,0,,0,,0,0
31/05/1992,0,,0,,0,0
01/06/1992,0,,0,,0,0
02/06/1992,0,,0,,0,0
03/06/1992,0,,0,,0,0
04/06/1992,0,,0,,0,0
05/06/1992,0,,0,,0,0
06/06/1992,0,,0,,0,0.2
07/06/1992,0,,0,,0,0
08/06/1992,0,,0,,0,0
09/06/1992,0,,0,,0,0
10/06/1992,0,,0,,0,0
11/06/1992,0,,0,,0,0
12/06/1992,0,,0,,0,0
13/06/1992,0,,0,,0,0
14/06/1992,0,,0,,0,0
15/06/1992,0,,0,,0,0
16/06/1992,0,,0,,0,0
17/06/1992,0,,0,,0,0
18/06/1992,0,,0,,0,0
19/06/1992,0,,0,,0,0
20/06/1992,0,,0,,0,0
21/06/1992,0,,0,,0,0
22/06/1992,0,,0,,0,0
23/06/1992,0,,0,,0,0
24/06/1992,0,,0,,0,0
25/06/1992,0,,0,,0,0
26/06/1992,0,,0,,0,0
27/06/1992,0,,0,,0,0
28/06/1992,0,,0,,0,0
29/06/1992,0,,0,,0,0
30/06/1992,0,,0,,0,0
01/07/1992,0,,0,,0,0
02/07/1992,0,,0,,0,0
03/07/1992,0,,0,,0,0
04/07/1992,0,,0,,0,0
05/07/1992,0,,0,,0,0
06/07/1992,0,,0,,0,0
07/07/1992,0,,0,,0,0
08/07/1992,0,,0,,0,0
09/07/1992,0,,0,,0,0
10/07/1992,0,,0,,0,0
11/07/1992,0,,0,,0,0
12/07/1992,0,,0,,0,0
13/07/1992,0,,0,,0,0
14/07/1992,0,,0,,0,0
15/07/1992,0,,0,,0,0
16/07/1992,0,,0,,0,0
17/07/1992,0,,0,,0,0
18/07/1992,0,,0,,0,0
19/07/1992,0,,0,,0,0
20/07/1992,0,,0,,0,0
21/07/1992,0,,0,,0,0
22/07/1992,0,,0,,0,0
23/07/1992,0,,0,,0,0
24/07/1992,0,,0,,0,0
25/07/1992,0,,0,,0,0
26/07/1992,0,,0,,0,0
27/07/1992,0,,0,,0,0
28/07/1992,0,,0,,0,0
29/07/1992,0,,0,,0,0
30/07/1992,0,,0,,0,0
31/07/1992,0,,0,,0,0
01/08/1992,0,,0,,0,0
02/08/1992,0,,0,,0,0
03/08/1992,0,,0,,0,0
04/08/1992,0,,0,,0,0
05/08/1992,0,,0,,0,0
06/08/1992,0,,0,,0,0
07/08/1992,0,,0,,0,0
08/08/1992,0,,0,,0,0
09/08/1992,0,,,,0,0
10/08/1992,0,,0.5,,0,0
11/08/1992,0,,0,,0,0
12/08/1992,0,,0,,0,0
13/08/1992,0,,0,,0,0
14/08/1992,0,,0,,0,0
15/08/1992,0,,0,,0,0
16/08/1992,0,,0,,0,0
17/08/1992,0,,0,,0,0
18/08/1992,0,,0,,0,0
19/08/1992,0,,0,,0,0.2
20/08/1992,0,,0,,0,0
21/08/1992,0,,0,,0,0
22/08/1992,0,,0,,0,0
23/08/1992,0,,0,,0,0
24/08/1992,0,,0,,0,0
25/08/1992,0,,0,,0,0
26/08/1992,0,,0,,0,0
27/08/1992,0,,0,,0,0
28/08/1992,0,,0,,0,0
29/08/1992,0,,0,,0,0
30/08/1992,0,,0,,0,0
31/08/1992,0,,0,,0,0
01/09/1992,0,,0,,0,0
02/09/1992,0,,0,,0,0
03/09/1992,0,,0,,0,0
04/09/1992,0,,0,,0,0
05/09/1992,0,,0,,0,0
06/09/1992,0,,0,,0,0
07/09/1992,6.2,,0,,0,0
08/09/1992,0,,2.2,2.2,0.6,5
09/09/1992,0,,0,,0.4,0
10/09/1992,0,,0,,0,0
11/09/1992,0,,0,,0,0
12/09/1992,0,,0,,0,0
13/09/1992,0,,0,,0,0
14/09/1992,0,,0,,0,0
15/09/1992,0,,0,,0,0
16/09/1992,0,,0,,0,0
17/09/1992,0,,0,,0,0
18/09/1992,0,,0,,3.4,0
19/09/1992,0,,0,,0,0
20/09/1992,0,,0,,0,0
21/09/1992,0,,0,,0,0
22/09/1992,0,,0,,0,0
23/09/1992,0,,0,,0,0
24/09/1992,0,,0,,0,0
25/09/1992,0,,0,,0,0
26/09/1992,1.5,,0,,0,0.4
27/09/1992,0,,0,,0,0
28/09/1992,0,,1.8,,0,0
29/09/1992,0,,0,,0,0
30/09/1992,0,,0,,0,0
01/10/1992,0,,0,,0,0
02/10/1992,0,,0,,0,0
03/10/1992,8,,,1.8,,25
04/10/1992,0,,,,,0
05/10/1992,0,,6.666666667,,6.2,0
06/10/1992,0,,0,,0,0
07/10/1992,0,,0.5,,0,0
08/10/1992,12.6,,8.2,,6.2,3.8
09/10/1992,0,,0,2.2,0,0
10/10/1992,0,,0,,0,1.2
11/10/1992,0,,0,,0,0
12/10/1992,0,,0,,0,0
13/10/1992,0,,0,,0,0
14/10/1992,0,,0,,0,0
15/10/1992,0,,0,,0,0
16/10/1992,5.2,,3.6,0.4,2.2,0
17/10/1992,0,,,,,0
18/10/1992,0,,,,,0
19/10/1992,60,,6,66,31.66666667,15
20/10/1992,0,,0,1,4,1.2
21/10/1992,0,,0,,0,0
22/10/1992,0,,0,,0,0
23/10/1992,4,,30,20.6,23.6,32.2
24/10/1992,0,,0,,,0
25/10/1992,0,,0,,,0
26/10/1992,0,,,,0.733333333,0.2
27/10/1992,0,,,,0,0
28/10/1992,0,,0.5,,0,0
29/10/1992,0,,0,,0,0
30/10/1992,10.4,,37,8.6,48,69.8
31/10/1992,0,,0,,0,0
01/11/1992,0,,,11.2,,0.4
02/11/1992,0,,0.3,,0.7,0
03/11/1992,0,,4.4,2.8,0,0.2
04/11/1992,0,,0,,0.6,0
05/11/1992,0,,2.4,,0,0
06/11/1992,0,,1,,0.2,3.2
07/11/1992,0,,0,,0,0
08/11/1992,0,,0,,0,0
09/11/1992,0,,0,0.8,0,0
10/11/1992,19,,9,1.8,0,15.8
11/11/1992,0,,2,9.4,0,6
12/11/1992,27.4,,42.2,16.8,47.2,57.6
13/11/1992,0,,0,,0,0
14/11/1992,0,,0,,0,0
15/11/1992,0,,0,,0,0
16/11/1992,0,,0,,0,0
17/11/1992,0,,0,,0,0
18/11/1992,0,,0,,0,0
19/11/1992,1.8,,0,,0,0
20/11/1992,0,,0,,0,0
21/11/1992,0,,0,,0,0
22/11/1992,0,,0,,0,0
23/11/1992,0,,0,,0,0
24/11/1992,0,,0,,0,0
25/11/1992,0,,0,,2.2,0.2
26/11/1992,26,,74,46.6,52.2,96.8
27/11/1992,0,,0,,1,0
28/11/1992,0,,,,,0
29/11/1992,0,,,2.8,,4.2
30/11/1992,6.8,,8,11.4,0.8,0.6
01/12/1992,0,,0,,0,0
02/12/1992,0,,0,,0,0
03/12/1992,0,,0,,0,0
04/12/1992,0,,0,,0,0
05/12/1992,0,,0,,,0
06/12/1992,5.2,,0,3,,6.4
07/12/1992,0,,0,,0.733333333,0
08/12/1992,9.8,,23.8,14.8,8.6,6.2
09/12/1992,0,,0,,0.2,0.4
10/12/1992,4.8,,0,2.8,0.2,2.4
11/12/1992,0,,0,,0,0
12/12/1992,1.4,,,3.2,,6.2
13/12/1992,0,,,,,0
14/12/1992,25.6,,14.33333333,33.4,14,44
15/12/1992,22,,33,24,29.6,41.2
16/12/1992,0,,0,,0.2,0
17/12/1992,0,,0,,0,0
18/12/1992,10.6,,3.5,3,0.4,7.6
19/12/1992,6.8,,,2.4,,2.2
20/12/1992,0,,,,,0.2
21/12/1992,0,,1.8,,0.666666667,0
22/12/1992,15.6,,4.8,5.2,19.2,8.2
23/12/1992,51.4,,47,51,11.6,20.2
24/12/1992,26.6,,0,7.4,9.6,0.6
25/12/1992,24,,,30.6,,79.6
26/12/1992,0,,,,,0
27/12/1992,0,,,,,0
28/12/1992,9.8,,,9,,9.4
29/12/1992,0,,7.6,,15.52,0
30/12/1992,0,,9.2,14.4,3.4,5.4
31/12/1992,0,,0,,0,0
01/01/1993,0,,0,,,0
02/01/1993,0,,0,,,0
03/01/1993,13,,,7.2,,2.6
04/01/1993,0,,8.1,1.8,0.75,2.6
05/01/1993,0,,0,,11.2,0.2
06/01/1993,16.8,,18.5,21.2,2.6,12.8
07/01/1993,5.6,,2.6,,10.2,1.4
08/01/1993,38,,20,27.2,0,19
09/01/1993,0,,0,,0,0
10/01/1993,5.4,,0,,0,0
11/01/1993,0,,0,,0,0
12/01/1993,0,,0,,0,0
13/01/1993,30,,10.4,25,27.8,19.8
14/01/1993,0,,0,0.6,0.2,0
15/01/1993,0,,0,,0,0
16/01/1993,14,,,11.2,,2.8
17/01/1993,6.4,,,9.6,,19.4
18/01/1993,30.2,,7.666666667,19.4,9.466666667,46
19/01/1993,0,,0,,0,0
20/01/1993,0,,0,,0,0
21/01/1993,39,,4,28.6,2.8,1.2
22/01/1993,2.8,,12.4,11.2,0,8.8
23/01/1993,7.8,,,8.4,,3.6
24/01/1993,12,,,0.8,,5.2
25/01/1993,1,,4.2,10,6.2,2.6
26/01/1993,77,,,194.8,,134.4
27/01/1993,24.4,,88,14.2,32.1,14.4
28/01/1993,59.8,,32,52.6,49.2,18.8
29/01/1993,51.4,,45.3,43.2,68,47.8
30/01/1993,24.6,,,26.4,,19.8
31/01/1993,164,,78.5,160,59.55,111.6
01/02/1993,87,,54.4,57.4,80,63.4
02/02/1993,33.2,,79.4,79.4,66,54.2
03/02/1993,0,,0,,0,0
04/02/1993,16,,15.2,14,0,11.4
05/02/1993,10.4,,14,12.6,29,12.8
06/02/1993,19,,,2,,3.8
07/02/1993,0,,,,,0
08/02/1993,37.4,,15.2,64.6,12.33333333,38.6
09/02/1993,5,,5.8,7.4,6.2,7
10/02/1993,1.8,,1,2.2,2,1.8
11/02/1993,0,,0,,0,0
12/02/1993,11,,10.8,11.4,13,18.8
13/02/1993,0,,0,,0,0
14/02/1993,0,,0,,0,0
15/02/1993,0,,0,,0,0
16/02/1993,0,,0,0.8,0,0
17/02/1993,0,,0,1,0,0
18/02/1993,1.8,,4.6,4.2,1.6,0.8
19/02/1993,0,,0,2.4,1,0
20/02/1993,2,,,1,,5.4
21/02/1993,32.6,,,35.4,,28.6
22/02/1993,30.6,,15.16666667,22.2,15,7.2
23/02/1993,16.8,,,21.2,12,12
24/02/1993,0,,7.5,,3.6,1.2
25/02/1993,0,,0.2,,3,2.6
26/02/1993,0,,0,,0,0
27/02/1993,1.2,,0,,0,0.8
28/02/1993,0,,5.9,,0,0.8
01/03/1993,26,,20,27,20.2,23.4
02/03/1993,44,,32.4,37.8,37.2,41.8
03/03/1993,5.4,,31.6,31.4,27.8,9.6
04/03/1993,0,,6.4,2,15.6,9.8
05/03/1993,22,,6.2,9.8,2.6,12.6
06/03/1993,0,,0,,,0
