Date,Maximum temperature (Degree C),01/01/1992,24.9,01/01/1992,12.1
01/01/1992,33.1,02/01/1992,23.5,02/01/1992,17.6
02/01/1992,32.6,03/01/1992,22.7,03/01/1992,24
03/01/1992,32,04/01/1992,24.1,04/01/1992,22.2
04/01/1992,32.4,05/01/1992,21.1,05/01/1992,16.1
05/01/1992,31.6,06/01/1992,24.7,06/01/1992,10.6
06/01/1992,30.4,07/01/1992,22,07/01/1992,20.9
07/01/1992,31.3,08/01/1992,23.2,08/01/1992,19.4
08/01/1992,32.1,09/01/1992,21.6,09/01/1992,27
09/01/1992,33.4,10/01/1992,27.5,10/01/1992,20
10/01/1992,33,11/01/1992,28.1,11/01/1992,20
11/01/1992,32.8,12/01/1992,28,12/01/1992,20
12/01/1992,32.8,13/01/1992,27.8,13/01/1992,20
13/01/1992,33.1,14/01/1992,28.4,14/01/1992,27.9
14/01/1992,32.5,15/01/1992,27.7,15/01/1992,28.4
15/01/1992,33.1,16/01/1992,26,16/01/1992,27.6
16/01/1992,32.7,17/01/1992,28.3,17/01/1992,23.4
17/01/1992,32.7,18/01/1992,24,18/01/1992,27.1
18/01/1992,33.4,19/01/1992,26.8,19/01/1992,27.9
19/01/1992,33.2,20/01/1992,25.1,20/01/1992,20.9
20/01/1992,33,21/01/1992,25.9,21/01/1992,22.1
21/01/1992,32.8,22/01/1992,21.5,22/01/1992,18.3
22/01/1992,32,23/01/1992,22.6,23/01/1992,28.5
23/01/1992,33.2,24/01/1992,24.5,24/01/1992,28.1
24/01/1992,33.3,25/01/1992,25.6,25/01/1992,17.8
25/01/1992,32.1,26/01/1992,23.3,26/01/1992,20
26/01/1992,32.4,27/01/1992,25.4,27/01/1992,15.6
27/01/1992,32.5,28/01/1992,24.6,28/01/1992,24.6
28/01/1992,33,29/01/1992,24.6,29/01/1992,24.6
29/01/1992,33,30/01/1992,23.1,30/01/1992,10
30/01/1992,30,31/01/1992,24,31/01/1992,19.8
31/01/1992,31.2,01/02/1992,23.5,01/02/1992,24.7
01/02/1992,32.1,02/02/1992,24.7,02/02/1992,25.8
02/02/1992,33.1,03/02/1992,25.3,03/02/1992,14.9
03/02/1992,31,04/02/1992,25.6,04/02/1992,10.2
04/02/1992,30.7,05/02/1992,25,05/02/1992,10.8
05/02/1992,30.4,06/02/1992,24.8,06/02/1992,22.7
06/02/1992,32.8,07/02/1992,27.3,07/02/1992,18.5
07/02/1992,32.9,08/02/1992,22.4,08/02/1992,15.5
08/02/1992,31.8,09/02/1992,25.5,09/02/1992,25.3
09/02/1992,33.2,10/02/1992,28.4,10/02/1992,17.5
10/02/1992,32.9,11/02/1992,28.6,11/02/1992,7.9
11/02/1992,31.8,12/02/1992,22.7,12/02/1992,3.6
12/02/1992,26.9,13/02/1992,23.2,13/02/1992,24.7
13/02/1992,31.7,14/02/1992,24.8,14/02/1992,26.5
14/02/1992,32.4,15/02/1992,26.7,15/02/1992,26
15/02/1992,32.7,16/02/1992,25.9,16/02/1992,22.3
16/02/1992,32.9,17/02/1992,28.2,17/02/1992,26.3
17/02/1992,33,18/02/1992,28.4,18/02/1992,23
18/02/1992,33,19/02/1992,28.5,19/02/1992,24.8
19/02/1992,33.5,20/02/1992,28.8,20/02/1992,20.7
20/02/1992,33.2,21/02/1992,23.6,21/02/1992,10.8
