Date,Thorak Cemetery,CSIRO,Northlake,Karama NT,Berrimah Research,Darwin Airport
01/01/1992,0.5070364296464787,,0.0,1.6,0.0,1.2
02/01/1992,10.379286805263355,,14.4,42.0,9.2,12.8
03/01/1992,17.583236931246955,,25.0,24.2,34.4,21.0
04/01/1992,0.8,,,,,0.8
05/01/1992,16.810917566042804,,,42.0,,42.0
06/01/1992,13.353626121214688,,19.66666667,4.4,15.66666667,24.0
07/01/1992,59.31081734574511,,78.6,62.0,92.4,89.2
08/01/1992,0.0,0.0,8.5,13.5,10.8,22.0
09/01/1992,4.5,6.9,6.5,13.0,12.0,8.0
10/01/1992,0.0,4.8,0.0,3.0,0.4,0.0
11/01/1992,0.0,0.0,0.0,,0.0,0.0
12/01/1992,0.0,0.0,0.0,,0.0,0.0
13/01/1992,0.0,0.0,0.0,,0.0,0.0
14/01/1992,0.0,0.0,0.0,,0.0,0.0
15/01/1992,0.0,0.0,0.0,,0.0,0.0
16/01/1992,0.0,0.0,0.0,,0.0,0.0
17/01/1992,0.0,0.0,0.0,,0.0,0.0
18/01/1992,0.0,0.2,0.0,3.4,,0.4
19/01/1992,0.0,0.0,0.0,,,0.0
20/01/1992,0.0,0.0,0.0,,0.533333333,0.0
21/01/1992,0.0,0.0,0.0,,0.0,0.0
22/01/1992,50.4,49.7,29.0,19.0,42.0,43.2
23/01/1992,14.5,12.6,11.2,7.6,12.6,6.4
24/01/1992,0.0,0.0,0.0,,0.0,0.0
25/01/1992,0.0,0.0,0.0,,,0.0
26/01/1992,55.2,41.6,19.0,30.0,,9.2
27/01/1992,0.0,0.0,0.0,,9.333333333,0.2
28/01/1992,1.4,0.4,0.0,,22.4,13.8
29/01/1992,0.0,0.0,0.0,,0.0,0.0
30/01/1992,0.0,23.6,25.2,16.6,9.8,24.4
31/01/1992,11.0,3.2,0.0,5.2,0.0,0.0
01/02/1992,44.2,0.4,,,,0.0
02/02/1992,0.0,0.0,,7.8,,0.0
